Document,Topic_group,Priority
Account reset login vpn authentication reset.,Access,Medium
Payroll pto whenever whenever pto leave leave pto.,HR Support,Low
Update access denied credentials locked out vpn suggestion credentials password reset vpn vpn reset.,Access,Low
Laptop power power keyboard screen paper mouse.,Hardware,Medium
Slow crashing software crashing slow zoom update crashing zoom crashing help meeting error update update.,Miscellaneous,Medium
Screen broken printer laptop screen monitor screen battery.,Hardware,Medium
Whenever backup trivial cloud storage cloud storage backup onedrive database disk space database missing files.,Storage,Low
Feedback question emergency slow error crashing feedback question update help all users help zoom.,Miscellaneous,High
Help help update zoom update question feedback.,Miscellaneous,Medium
Quota full backup cloud storage database database backup backup onedrive missing files onedrive drive wondering trivial database database database.,Storage,Low
Whenever insurance timesheet timesheet vacation trivial payroll.,HR Support,Low
Broken cloud storage full full quota quota quota full full urgent.,Storage,High
Database drive quota cloud storage trivial cloud storage no rush drive drive quota database cloud storage full disk space.,Storage,Low
Missing files onedrive database cloud storage missing files missing files drive disk space backup full drive quota.,Storage,Medium
Insurance benefits benefits asap timesheet emergency payroll insurance leave insurance insurance insurance w2 leave.,HR Support,High
Help error slow help software crashing slow update error help crashing crashing software update.,Miscellaneous,Medium
Whenever feedback error error no rush help feedback software zoom feedback.,Miscellaneous,Low
Quota onedrive cloud storage quota quota database cloud storage database database quota backup onedrive database.,Storage,Medium
Error question zoom slow help meeting crashing software crashing software software trivial meeting software slow update.,Miscellaneous,Low
Zoom crashing question question asap question crashing software slow crashing update slow feedback help zoom immediately.,Miscellaneous,High
Mouse laptop power screen broken battery wondering paper no rush broken mouse paper battery broken keyboard laptop.,Hardware,Low
Cloud storage no rush drive cloud storage database quota quota drive database backup database question quota.,Storage,Low
Feedback help slow crashing slow error meeting crashing help feedback error error feedback error.,Miscellaneous,Medium
Mouse battery broken screen power broken battery laptop printer printer monitor keyboard paper.,Hardware,Medium
Payroll onboarding leave whenever payroll w2 pto benefits benefits leave payroll onboarding insurance question.,HR Support,Low
Quota drive critical quota onedrive database asap.,Storage,High
Error crashing question update feedback crashing question.,Miscellaneous,Low
Help update zoom error urgent feedback help meeting slow zoom software crashing slow all users zoom meeting.,Miscellaneous,High
Onboarding payroll timesheet payroll asap leave vacation pto payroll payroll all users.,HR Support,High
Laptop power battery screen paper critical blocked broken.,Hardware,High
W2 timesheet wondering pto timesheet vacation wondering benefits.,HR Support,Low
All users meeting help zoom critical feedback crashing crashing error.,Miscellaneous,High
Crashing meeting crashing zoom question update slow update feedback meeting update crashing crashing help feedback meeting feedback.,Miscellaneous,Low
Whenever locked out account question login vpn locked out vpn access denied login password.,Access,Low
Authentication reset login access denied access denied locked out vpn account account trivial access denied whenever.,Access,Low
Credentials broken password vpn vpn authentication broken reset.,Access,High
Software software update meeting feedback crashing zoom crashing crashing question error slow question update update.,Miscellaneous,Medium
Battery laptop mouse keyboard power screen printer battery broken no rush monitor broken battery power screen trivial broken.,Hardware,Low
Monitor emergency paper critical power monitor battery monitor laptop laptop keyboard keyboard broken mouse.,Hardware,High
Whenever wondering help question error crashing zoom meeting feedback help.,Miscellaneous,Low
Benefits insurance question leave payroll payroll w2 insurance timesheet benefits insurance w2 wondering benefits.,HR Support,Low
Whenever update error meeting error zoom crashing crashing error question feedback error error error meeting feedback.,Miscellaneous,Low
Update critical all users update crashing slow meeting.,Miscellaneous,High
Immediately critical mouse keyboard power power monitor printer mouse monitor power screen mouse laptop keyboard.,Hardware,High
Benefits no rush insurance no rush timesheet payroll payroll.,HR Support,Low
Power mouse monitor mouse screen power keyboard.,Hardware,Medium
Disk space full drive full onedrive missing files.,Storage,Medium
Crashing help question crashing meeting.,Miscellaneous,Medium
Broken screen trivial printer power monitor monitor monitor monitor monitor mouse laptop monitor keyboard power suggestion laptop.,Hardware,Low
Credentials account reset reset access denied access denied login account.,Access,Medium
Mouse monitor mouse broken mouse broken battery mouse paper paper asap.,Hardware,High
Account suggestion wondering vpn account credentials locked out.,Access,Low
Quota full disk space database disk space drive suggestion trivial disk space.,Storage,Low
Mouse broken battery power mouse screen suggestion broken power keyboard no rush battery paper monitor power printer.,Hardware,Low
Laptop monitor paper battery printer battery monitor.,Hardware,Medium
Keyboard laptop broken no rush screen battery keyboard update keyboard.,Hardware,Low
Broken mouse monitor monitor power laptop.,Hardware,Medium
Reset credentials locked out access denied authentication access denied password authentication login access denied account authentication access denied.,Access,Medium
Monitor battery all users broken monitor printer broken.,Hardware,High
Suggestion no rush printer broken broken keyboard screen.,Hardware,Low
Disk space cloud storage backup full drive database cloud storage disk space backup quota full.,Storage,Medium
Password authentication authentication login login reset account account account trivial reset authentication login trivial reset reset.,Access,Low
Power paper power laptop paper laptop paper power.,Hardware,Medium
Help software software feedback help update zoom help slow feedback question.,Miscellaneous,Medium
Reset vpn access denied password locked out vpn credentials access denied all users password locked out locked out login vpn authentication all users.,Access,High
Battery question battery power monitor power mouse printer paper paper laptop printer keyboard whenever.,Hardware,Low
Quota quota drive missing files missing files onedrive cloud storage backup drive database drive database database.,Storage,Medium
Full onedrive disk space quota database quota full backup disk space onedrive drive.,Storage,Medium
Locked out emergency reset account locked out broken locked out vpn vpn password.,Access,High
Disk space database onedrive backup quota disk space.,Storage,Medium
Credentials credentials account account authentication account trivial reset credentials password account login whenever login login.,Access,Low
Crashing meeting software meeting question error suggestion question meeting zoom.,Miscellaneous,Low
Monitor printer monitor monitor printer keyboard mouse paper wondering whenever broken keyboard.,Hardware,Low
Benefits w2 w2 leave payroll benefits leave onboarding pto onboarding leave.,HR Support,Medium
Slow help meeting help blocked error blocked crashing.,Miscellaneous,High
Vacation onboarding insurance payroll pto leave onboarding vacation insurance benefits leave.,HR Support,Medium
Vacation insurance benefits benefits pto insurance pto pto leave suggestion wondering benefits leave payroll.,HR Support,Low
Meeting question help slow update software crashing question software help immediately meeting software immediately crashing software.,Miscellaneous,High
Backup full quota full onedrive drive disk space cloud storage drive.,Storage,Medium
All users meeting update update feedback software feedback asap software.,Miscellaneous,High
Authentication account password authentication reset account.,Access,Medium
Question question software software software.,Miscellaneous,Medium
Payroll leave suggestion pto leave no rush timesheet timesheet benefits benefits insurance benefits insurance w2.,HR Support,Low
Insurance all users onboarding benefits benefits pto immediately benefits insurance vacation payroll payroll vacation.,HR Support,High
Disk space full backup backup missing files database.,Storage,Medium
Locked out vpn locked out login locked out account.,Access,Medium
Onboarding benefits timesheet timesheet leave w2 benefits.,HR Support,Medium
Immediately blocked locked out password authentication vpn access denied login access denied vpn locked out.,Access,High
Reset locked out password reset access denied reset locked out authentication reset vpn authentication login.,Access,Medium
Feedback question help error meeting update meeting software feedback software software update.,Miscellaneous,Medium
Insurance timesheet leave insurance timesheet vacation benefits benefits insurance vacation insurance vacation pto onboarding payroll.,HR Support,Medium
Battery keyboard keyboard asap emergency laptop keyboard battery broken screen battery.,Hardware,High
Question crashing slow software zoom slow error trivial.,Miscellaneous,Low
Locked out credentials reset login vpn reset locked out locked out.,Access,Medium
Drive backup drive onedrive database full missing files disk space backup full drive drive.,Storage,Medium
Paper laptop monitor screen monitor broken laptop broken mouse mouse keyboard monitor.,Hardware,Medium
Error feedback help slow feedback broken blocked feedback update feedback question crashing update.,Miscellaneous,High
Screen laptop all users monitor printer printer battery keyboard laptop keyboard broken power screen paper all users.,Hardware,High
Feedback zoom software suggestion update slow feedback error update zoom update zoom update.,Miscellaneous,Low
Zoom error help feedback slow question slow question.,Miscellaneous,Medium
Credentials credentials credentials reset access denied locked out reset authentication authentication reset account account login reset.,Access,Medium
Pto pto insurance no rush timesheet vacation pto timesheet trivial pto leave.,HR Support,Low
Software meeting meeting slow meeting crashing error error question software crashing slow feedback.,Miscellaneous,Medium
Screen broken question mouse paper printer keyboard keyboard broken screen power question broken.,Hardware,Low
Printer printer power suggestion suggestion monitor keyboard printer screen printer battery keyboard.,Hardware,Low
Login access denied authentication login authentication locked out.,Access,Medium
Vpn suggestion login locked out login locked out locked out no rush reset locked out vpn password access denied reset account reset.,Access,Low
Screen broken paper power paper mouse whenever whenever.,Hardware,Low
Vpn authentication password password reset account reset password.,Access,Medium
All users cloud storage backup blocked onedrive quota cloud storage cloud storage onedrive missing files onedrive backup.,Storage,High
Access denied credentials reset locked out login suggestion account vpn login no rush authentication access denied.,Access,Low
Reset urgent login locked out authentication account locked out locked out login blocked.,Access,High
Zoom error error crashing feedback question update zoom zoom update feedback update update software no rush meeting.,Miscellaneous,Low
Timesheet benefits payroll pto vacation onboarding vacation.,HR Support,Medium
Laptop power screen paper keyboard keyboard screen screen power laptop monitor printer printer battery.,Hardware,Medium
Account reset authentication vpn reset.,Access,Medium
Access denied vpn login account credentials password credentials credentials vpn locked out credentials.,Access,Medium
Help zoom question software feedback.,Miscellaneous,Medium
Onedrive database wondering backup onedrive onedrive no rush.,Storage,Low
Password login login credentials credentials vpn password reset reset vpn reset locked out password reset authentication.,Access,Medium
Onedrive backup quota database onedrive onedrive quota drive drive backup cloud storage onedrive disk space backup.,Storage,Medium
Pto benefits payroll benefits no rush timesheet trivial.,HR Support,Low
Insurance w2 vacation insurance leave insurance vacation benefits onboarding payroll onboarding onboarding.,HR Support,Medium
Question error feedback update zoom feedback help feedback feedback error error question immediately feedback asap meeting meeting.,Miscellaneous,High
Full drive disk space broken drive cloud storage full disk space disk space critical backup drive full.,Storage,High
Screen screen broken paper paper wondering printer monitor broken laptop keyboard laptop printer update monitor screen.,Hardware,Low
Password authentication no rush wondering account login authentication account authentication authentication.,Access,Low
Database missing files missing files missing files disk space drive disk space backup disk space.,Storage,Medium
Trivial paper mouse printer keyboard power printer monitor laptop wondering broken printer monitor power.,Hardware,Low
Wondering feedback suggestion update error error crashing update error meeting zoom slow slow meeting.,Miscellaneous,Low
Vacation insurance payroll leave payroll insurance vacation w2 vacation.,HR Support,Medium
Login reset locked out locked out locked out password vpn access denied locked out vpn account reset reset.,Access,Medium
Drive cloud storage onedrive suggestion update full drive quota onedrive disk space.,Storage,Low
Onboarding pto insurance pto benefits onboarding payroll insurance w2 timesheet w2 insurance timesheet timesheet vacation.,HR Support,Medium
Screen paper battery keyboard power screen battery power keyboard screen monitor.,Hardware,Medium
Drive onedrive database update drive quota cloud storage disk space onedrive disk space suggestion disk space disk space disk space missing files.,Storage,Low
Leave pto benefits w2 w2 benefits.,HR Support,Medium
No rush quota missing files quota database quota missing files update.,Storage,Low
Vpn credentials password account locked out authentication vpn access denied access denied access denied account.,Access,Medium
Access denied password authentication login password authentication authentication access denied account.,Access,Medium
Meeting meeting help question question.,Miscellaneous,Medium
Reset access denied emergency credentials access denied authentication locked out all users credentials.,Access,High
Onedrive onedrive full onedrive missing files drive missing files missing files onedrive disk space immediately quota drive cloud storage blocked quota.,Storage,High
Pto w2 timesheet w2 pto vacation onboarding trivial payroll leave update payroll.,HR Support,Low
Vpn locked out password reset access denied password access denied locked out account credentials login password reset.,Access,Medium
Full missing files cloud storage backup backup blocked drive cloud storage emergency onedrive database.,Storage,High
Question no rush keyboard battery printer power printer broken printer power broken laptop power broken monitor monitor.,Hardware,Low
Meeting meeting slow crashing zoom all users feedback all users software slow feedback feedback slow meeting.,Miscellaneous,High
Login access denied login password credentials access denied access denied authentication password password vpn credentials all users emergency password access denied reset.,Access,High
Onedrive drive quota cloud storage database trivial drive missing files disk space database missing files backup full wondering.,Storage,Low
Onedrive drive drive drive missing files backup backup.,Storage,Medium
Login suggestion password update authentication credentials password authentication.,Access,Low
Onedrive backup missing files quota quota question quota disk space suggestion cloud storage backup drive backup missing files backup missing files quota.,Storage,Low
Database backup missing files wondering database cloud storage onedrive onedrive full question backup disk space disk space.,Storage,Low
Keyboard printer broken printer broken keyboard power monitor critical paper battery screen urgent paper broken paper printer.,Hardware,High
Suggestion update w2 onboarding vacation insurance payroll w2.,HR Support,Low
Login no rush password login wondering access denied login access denied password authentication authentication password.,Access,Low
Monitor power paper screen broken power mouse printer screen monitor broken monitor screen broken.,Hardware,Medium
Authentication authentication reset password authentication vpn.,Access,Medium
Help software help whenever suggestion crashing slow crashing software software software error.,Miscellaneous,Low
Vacation w2 pto w2 leave whenever payroll timesheet onboarding payroll payroll payroll benefits payroll question timesheet vacation.,HR Support,Low
Vpn reset password access denied reset authentication authentication access denied vpn.,Access,Medium
Onboarding benefits leave timesheet onboarding timesheet vacation payroll insurance timesheet insurance wondering trivial.,HR Support,Low
Leave benefits benefits benefits timesheet insurance insurance payroll vacation vacation leave pto payroll benefits.,HR Support,Medium
Onedrive disk space drive disk space drive backup quota missing files cloud storage database.,Storage,Medium
Battery mouse power mouse monitor monitor broken monitor battery paper broken laptop mouse.,Hardware,Medium
Slow zoom suggestion suggestion crashing crashing feedback.,Miscellaneous,Low
Crashing software help help update zoom question software.,Miscellaneous,Medium
Insurance leave leave timesheet insurance pto.,HR Support,Medium
Meeting crashing update update meeting crashing question question no rush feedback meeting crashing feedback help slow.,Miscellaneous,Low
Power immediately printer power emergency battery paper broken battery.,Hardware,High
Question update zoom help trivial feedback feedback error crashing update.,Miscellaneous,Low
Disk space missing files disk space database onedrive onedrive backup backup cloud storage backup backup.,Storage,Medium
All users pto insurance timesheet w2 onboarding blocked.,HR Support,High
Battery mouse laptop battery suggestion screen laptop laptop mouse laptop printer monitor power printer suggestion printer.,Hardware,Low
Cloud storage backup cloud storage missing files disk space database full disk space urgent urgent drive.,Storage,High
Vacation payroll insurance trivial payroll leave w2 timesheet vacation insurance payroll wondering payroll.,HR Support,Low
Leave insurance pto vacation no rush vacation benefits suggestion.,HR Support,Low
Reset login all users account locked out locked out critical authentication.,Access,High
Feedback meeting all users help meeting update update software broken.,Miscellaneous,High
Cloud storage asap onedrive database database full quota cloud storage missing files urgent full database disk space cloud storage disk space onedrive drive.,Storage,High
Missing files drive disk space quota drive immediately missing files database cloud storage database asap full full quota missing files missing files cloud storage.,Storage,High
Insurance pto insurance insurance onboarding onboarding vacation benefits benefits leave leave vacation.,HR Support,Medium
Update question meeting crashing meeting update suggestion zoom suggestion slow error crashing.,Miscellaneous,Low
Payroll leave insurance vacation payroll.,HR Support,Medium
Leave insurance vacation insurance w2 payroll timesheet payroll.,HR Support,Medium
No rush account reset wondering vpn access denied login password reset credentials.,Access,Low
Missing files quota drive full wondering cloud storage suggestion onedrive missing files disk space cloud storage disk space backup.,Storage,Low
Insurance w2 benefits insurance benefits vacation insurance leave benefits w2 onboarding insurance onboarding leave payroll.,HR Support,Medium
Crashing software error error software software whenever feedback question software error software question suggestion feedback error error.,Miscellaneous,Low
Zoom error feedback slow feedback question help meeting question slow help feedback software.,Miscellaneous,Medium
Account login account login account vpn authentication authentication account account credentials reset.,Access,Medium
Authentication account authentication credentials credentials reset reset locked out reset credentials.,Access,Medium
Question help error meeting feedback crashing update broken slow meeting help feedback all users feedback slow.,Miscellaneous,High
W2 urgent blocked vacation payroll pto onboarding payroll leave vacation insurance vacation pto onboarding pto leave leave.,HR Support,High
Backup missing files backup backup onedrive onedrive backup missing files onedrive onedrive.,Storage,Medium
Database suggestion missing files quota disk space full drive drive database missing files drive trivial onedrive onedrive quota missing files drive.,Storage,Low
Insurance question insurance onboarding onboarding leave insurance insurance vacation payroll benefits whenever benefits w2 payroll leave.,HR Support,Low
Paper keyboard mouse power battery power screen printer broken keyboard screen laptop power.,Hardware,Medium
Vacation vacation leave insurance timesheet vacation timesheet benefits w2 vacation onboarding pto timesheet pto.,HR Support,Medium
Drive cloud storage database disk space onedrive quota whenever missing files trivial.,Storage,Low
Screen power battery battery laptop emergency broken urgent printer.,Hardware,High
Cloud storage full full backup cloud storage disk space drive onedrive database critical database urgent drive.,Storage,High
Cloud storage missing files onedrive cloud storage disk space quota missing files broken quota backup disk space disk space drive database drive blocked missing files.,Storage,High
Feedback zoom question crashing error slow feedback crashing question trivial help.,Miscellaneous,Low
Missing files cloud storage backup database onedrive onedrive quota missing files cloud storage cloud storage critical onedrive drive missing files immediately quota.,Storage,High
Authentication password password locked out password access denied locked out account login locked out access denied reset account.,Access,Medium
Keyboard paper screen mouse mouse keyboard battery keyboard battery laptop screen.,Hardware,Medium
Vpn credentials locked out authentication login blocked reset broken.,Access,High
Access denied account locked out locked out credentials account vpn account login login access denied login login.,Access,Medium
Benefits benefits benefits vacation leave vacation insurance onboarding onboarding vacation payroll pto.,HR Support,Medium
Help broken zoom urgent question software software zoom meeting meeting software meeting update question.,Miscellaneous,High
Urgent feedback help question question error update zoom slow all users error help meeting feedback slow.,Miscellaneous,High
Monitor broken mouse paper laptop printer keyboard power screen power screen printer.,Hardware,Medium
Vacation payroll payroll benefits leave timesheet leave leave vacation benefits leave insurance.,HR Support,Medium
Access denied account account reset credentials reset.,Access,Medium
Mouse paper mouse battery screen paper paper screen power screen.,Hardware,Medium
Onedrive backup cloud storage full backup missing files backup drive backup no rush cloud storage onedrive cloud storage suggestion cloud storage full.,Storage,Low
Vpn password credentials locked out reset question access denied authentication authentication authentication password reset reset update.,Access,Low
Login login password access denied locked out authentication locked out login locked out password.,Access,Medium
Slow crashing zoom whenever slow error feedback no rush zoom question help.,Miscellaneous,Low
Leave blocked payroll onboarding onboarding vacation insurance vacation timesheet w2 blocked.,HR Support,High
Missing files full drive disk space cloud storage immediately blocked onedrive disk space.,Storage,High
Locked out access denied whenever locked out password question vpn.,Access,Low
Broken mouse screen keyboard screen broken battery keyboard power broken.,Hardware,Medium
Mouse laptop broken asap laptop printer power blocked battery.,Hardware,High
Authentication login vpn vpn credentials reset access denied reset locked out credentials vpn reset access denied locked out reset.,Access,Medium
Laptop battery screen printer power laptop monitor emergency monitor critical screen broken.,Hardware,High
Slow help help question error crashing feedback help zoom software.,Miscellaneous,Medium
Error zoom help feedback slow.,Miscellaneous,Medium
Whenever question update question meeting question slow error error trivial.,Miscellaneous,Low
Onboarding payroll whenever onboarding w2 payroll payroll timesheet pto onboarding suggestion timesheet w2 leave.,HR Support,Low
Backup database missing files onedrive missing files database quota quota disk space.,Storage,Medium
Benefits benefits pto payroll w2 payroll benefits.,HR Support,Medium
Reset account reset credentials login access denied login login credentials reset password credentials.,Access,Medium
Insurance insurance onboarding vacation onboarding timesheet timesheet pto.,HR Support,Medium
W2 insurance pto vacation leave insurance insurance insurance vacation onboarding benefits timesheet insurance payroll.,HR Support,Medium
Credentials account authentication login reset credentials access denied credentials authentication login access denied account credentials vpn locked out.,Access,Medium
Vpn locked out password vpn reset password locked out login reset vpn vpn.,Access,Medium
Drive database backup onedrive onedrive backup quota wondering question database drive.,Storage,Low
Payroll vacation onboarding leave w2 onboarding.,HR Support,Medium
Account credentials authentication authentication credentials reset vpn password authentication trivial account login trivial vpn password credentials vpn.,Access,Low
Broken laptop mouse screen immediately battery immediately power.,Hardware,High
Question all users error question slow crashing update software slow zoom error emergency zoom crashing.,Miscellaneous,High
Onboarding pto vacation onboarding w2 onboarding critical leave pto leave critical leave insurance w2 vacation.,HR Support,High
Broken mouse power mouse laptop.,Hardware,Medium
Full cloud storage whenever question quota cloud storage cloud storage disk space full full database database cloud storage.,Storage,Low
Laptop printer battery paper paper keyboard printer keyboard screen battery battery keyboard emergency critical.,Hardware,High
Crashing error error question wondering crashing meeting help meeting slow crashing no rush crashing zoom zoom.,Miscellaneous,Low
Trivial credentials authentication login password authentication update account credentials account account reset vpn credentials reset vpn authentication.,Access,Low
Locked out locked out credentials account password login access denied reset vpn trivial account reset login update vpn locked out.,Access,Low
Slow zoom error feedback zoom crashing software.,Miscellaneous,Medium
Reset password no rush suggestion locked out reset locked out password.,Access,Low
Login login credentials password password locked out locked out authentication password.,Access,Medium
Account reset locked out account password password password vpn credentials vpn all users urgent login password access denied login.,Access,High
Disk space no rush database full onedrive drive disk space question quota.,Storage,Low
Quota backup onedrive missing files quota no rush quota trivial.,Storage,Low
Drive onedrive drive disk space missing files missing files backup missing files missing files onedrive full drive cloud storage.,Storage,Medium
Payroll update timesheet leave vacation payroll benefits w2 vacation insurance insurance question.,HR Support,Low
Question slow meeting wondering feedback software question question meeting meeting no rush error error slow question zoom crashing.,Miscellaneous,Low
Vacation leave insurance payroll pto.,HR Support,Medium
Broken whenever power paper power suggestion printer keyboard battery paper keyboard power power monitor screen.,Hardware,Low
W2 onboarding onboarding w2 urgent w2 urgent payroll.,HR Support,High
Power screen screen broken keyboard monitor monitor laptop.,Hardware,Medium
Backup drive quota drive drive drive drive onedrive disk space backup missing files backup onedrive missing files drive.,Storage,Medium
Drive cloud storage backup missing files drive backup cloud storage database full missing files.,Storage,Medium
Account locked out account access denied login account authentication credentials account login vpn access denied authentication account.,Access,Medium
Vpn credentials reset credentials wondering password question credentials login.,Access,Low
Question zoom question update zoom question feedback.,Miscellaneous,Medium
Crashing crashing crashing feedback question meeting update feedback software feedback update crashing.,Miscellaneous,Medium
Keyboard keyboard mouse battery broken mouse printer mouse printer wondering battery printer update laptop paper laptop.,Hardware,Low
Help question zoom software help slow.,Miscellaneous,Medium
Backup full database database disk space full full.,Storage,Medium
Payroll benefits leave leave no rush suggestion insurance w2 leave timesheet pto w2 leave.,HR Support,Low
Zoom software zoom crashing error slow question software crashing suggestion slow crashing slow update meeting.,Miscellaneous,Low
Error suggestion zoom error meeting update feedback error software question crashing update crashing feedback update update help.,Miscellaneous,Low
Onedrive missing files full disk space disk space suggestion missing files backup onedrive drive drive wondering drive.,Storage,Low
Account password credentials account vpn no rush login vpn credentials vpn access denied vpn question.,Access,Low
Trivial question timesheet benefits vacation pto vacation.,HR Support,Low
Drive drive disk space full onedrive backup quota backup quota no rush database drive update.,Storage,Low
Vacation payroll insurance benefits payroll emergency w2 benefits pto emergency benefits onboarding.,HR Support,High
Onboarding payroll timesheet benefits benefits pto asap insurance all users w2 payroll timesheet benefits pto benefits vacation leave.,HR Support,High
Disk space disk space disk space cloud storage full suggestion database trivial.,Storage,Low
W2 benefits leave leave timesheet w2 payroll insurance onboarding pto.,HR Support,Medium
Update zoom meeting crashing help feedback zoom meeting feedback help.,Miscellaneous,Medium
Power mouse mouse monitor keyboard keyboard mouse broken power screen paper laptop battery monitor laptop.,Hardware,Medium
Credentials authentication authentication access denied trivial reset authentication whenever locked out.,Access,Low
Leave pto pto insurance payroll benefits onboarding onboarding trivial payroll benefits vacation leave timesheet pto wondering insurance.,HR Support,Low
Access denied locked out account credentials credentials account credentials reset account vpn.,Access,Medium
Credentials vpn whenever access denied account credentials no rush.,Access,Low
Credentials authentication account vpn all users access denied reset authentication account credentials access denied asap access denied access denied authentication credentials password.,Access,High
Database full onedrive full onedrive.,Storage,Medium
Drive onedrive cloud storage onedrive disk space.,Storage,Medium
Onedrive missing files disk space onedrive drive onedrive cloud storage full full quota database missing files quota backup.,Storage,Medium
Meeting meeting slow software update zoom help feedback crashing.,Miscellaneous,Medium
Benefits payroll insurance pto benefits timesheet timesheet payroll timesheet payroll leave insurance pto benefits.,HR Support,Medium
Quota onedrive drive quota drive full backup quota cloud storage database database missing files.,Storage,Medium
Feedback question error software error question question zoom question error feedback.,Miscellaneous,Medium
Whenever access denied login authentication credentials access denied wondering locked out access denied account locked out.,Access,Low
Onboarding benefits onboarding benefits insurance payroll insurance onboarding pto vacation w2.,HR Support,Medium
Update asap zoom feedback zoom asap help zoom question question.,Miscellaneous,High
Urgent backup missing files broken quota missing files database quota quota.,Storage,High
Missing files missing files database quota onedrive backup full no rush trivial missing files disk space.,Storage,Low
Authentication access denied account password credentials vpn password account access denied login reset reset access denied.,Access,Medium
Question meeting zoom no rush meeting feedback zoom software zoom no rush help question crashing.,Miscellaneous,Low
Battery broken screen laptop keyboard screen monitor all users battery emergency mouse mouse.,Hardware,High
Slow update broken software software update help software question crashing slow broken help crashing.,Miscellaneous,High
Laptop suggestion trivial keyboard mouse keyboard laptop broken monitor laptop laptop power.,Hardware,Low
Leave immediately timesheet timesheet blocked insurance pto.,HR Support,High
Power no rush battery power screen battery trivial.,Hardware,Low
Battery update power screen monitor whenever monitor.,Hardware,Low
Pto payroll onboarding payroll timesheet pto vacation vacation onboarding onboarding w2 timesheet pto benefits.,HR Support,Medium
Screen laptop monitor trivial monitor no rush paper laptop laptop broken monitor.,Hardware,Low
Benefits payroll no rush pto timesheet leave vacation w2 whenever payroll timesheet.,HR Support,Low
Laptop mouse keyboard monitor screen printer keyboard monitor broken screen printer.,Hardware,Medium
Onedrive cloud storage missing files disk space onedrive question update cloud storage.,Storage,Low
Broken printer battery mouse mouse keyboard.,Hardware,Medium
W2 vacation leave benefits insurance.,HR Support,Medium
Laptop asap paper laptop printer battery immediately keyboard keyboard.,Hardware,High
Locked out login vpn account login vpn authentication access denied access denied account credentials account login vpn.,Access,Medium
Disk space disk space quota cloud storage quota asap full backup cloud storage cloud storage cloud storage drive drive database critical quota.,Storage,High
Power power broken mouse battery.,Hardware,Medium
Reset login login vpn update vpn credentials access denied question credentials credentials account reset login reset credentials.,Access,Low
Screen mouse battery screen battery battery screen monitor power.,Hardware,Medium
Wondering quota quota full backup question disk space onedrive.,Storage,Low
Feedback software update update suggestion crashing slow zoom slow update question question meeting question error crashing.,Miscellaneous,Low
Paper question update mouse monitor monitor screen.,Hardware,Low
Printer laptop paper broken broken.,Hardware,Medium
Battery mouse broken screen power immediately mouse power keyboard printer paper mouse broken power screen keyboard.,Hardware,High
Access denied credentials login reset vpn vpn reset authentication vpn locked out locked out password credentials access denied.,Access,Medium
Database full full drive drive quota full onedrive disk space database backup disk space full.,Storage,Medium
Error error help software feedback feedback update meeting.,Miscellaneous,Medium
Pto vacation leave timesheet benefits w2 w2.,HR Support,Medium
Question suggestion battery keyboard printer laptop broken keyboard battery mouse keyboard keyboard keyboard.,Hardware,Low
Reset access denied login password reset vpn authentication login locked out authentication password access denied.,Access,Medium
Monitor keyboard whenever monitor broken power monitor keyboard screen battery wondering battery laptop broken paper power.,Hardware,Low
Zoom update question software zoom software update crashing help zoom question question feedback.,Miscellaneous,Medium
Locked out update login vpn password access denied authentication login update password reset authentication locked out password.,Access,Low
Password access denied credentials access denied locked out authentication password account authentication locked out.,Access,Medium
Benefits benefits w2 onboarding leave payroll pto insurance payroll benefits vacation leave.,HR Support,Medium
Database disk space missing files database urgent backup onedrive critical.,Storage,High
Slow feedback question update meeting question wondering meeting software crashing.,Miscellaneous,Low
Laptop keyboard laptop whenever battery power trivial.,Hardware,Low
Question crashing question crashing help update meeting trivial question software error error update update help update update.,Miscellaneous,Low
Access denied locked out reset suggestion question vpn credentials reset locked out reset authentication account locked out vpn.,Access,Low
Authentication vpn account access denied account locked out credentials.,Access,Medium
Access denied locked out credentials account login login access denied.,Access,Medium
Benefits leave pto leave leave leave leave onboarding payroll wondering pto whenever leave insurance benefits.,HR Support,Low
Laptop broken blocked broken keyboard battery power battery laptop laptop paper.,Hardware,High
Broken mouse battery battery monitor broken wondering screen printer wondering power.,Hardware,Low
Help help update software slow slow question software error.,Miscellaneous,Medium
Keyboard monitor monitor laptop mouse power power.,Hardware,Medium
Benefits critical pto pto vacation w2 urgent insurance.,HR Support,High
Payroll payroll insurance whenever timesheet pto whenever timesheet payroll insurance.,HR Support,Low
Vpn locked out locked out login account authentication wondering reset authentication vpn credentials suggestion vpn password login authentication.,Access,Low
Onboarding w2 pto timesheet payroll pto w2 onboarding timesheet.,HR Support,Medium
Access denied account reset vpn wondering trivial account account credentials password access denied reset access denied authentication login access denied.,Access,Low
Laptop power power printer paper.,Hardware,Medium
Payroll pto onboarding leave timesheet timesheet vacation onboarding benefits timesheet w2 timesheet benefits.,HR Support,Medium
Vacation onboarding w2 pto benefits timesheet pto payroll no rush no rush onboarding timesheet.,HR Support,Low
Credentials access denied login access denied reset credentials locked out authentication authentication locked out account login password.,Access,Medium
Question zoom meeting suggestion update crashing software error zoom error error suggestion meeting software question error.,Miscellaneous,Low
Insurance payroll payroll w2 payroll onboarding pto payroll vacation timesheet insurance insurance.,HR Support,Medium
